task_id,phase,category,title,description,dependencies,priority,effort_days,prd_refs,gap_refs,status
T001,0-Setup,Project Setup,Clone Krayin Laravel CRM repository,Clone https://github.com/krayin/laravel-crm (branch 2.1) into the project workspace. This is the foundation for all subsequent work.,,CRITICAL,0.5,,,Done
T002,0-Setup,Project Setup,Set up Docker Compose for local development,"Create docker-compose.yml with PHP 8.1+ (Laravel), MySQL 8.0, Redis, Nginx, and Mailpit (for email testing). Ensure the Krayin installer runs on first boot. Include volume mounts for hot-reload development. Reference docs/ARCHITECTURE.md for stack details.",T001,CRITICAL,1,,,Done
T003,0-Setup,Project Setup,Verify base Krayin CRM runs in Docker,"Run docker compose up, complete the web installer, verify login works, dashboard loads, and all existing modules (leads, contacts, activities, pipelines, email, quotes, products, warehouses, web forms) function correctly.",T002,CRITICAL,0.5,,,Done
T004,0-Setup,Project Setup,Set up Playwright E2E test framework,"Install Playwright, configure it to run against the Docker-hosted CRM. Create base test utilities: login helper, navigation helpers, API helpers for seeding test data. Create a smoke test that logs in and verifies dashboard loads.",T003,CRITICAL,1,,,Done
T005,0-Setup,Project Setup,Write baseline Playwright smoke tests for existing features,"Write E2E tests verifying all existing Krayin functionality works: create/edit/delete contact, create/edit/delete lead, Kanban board drag-drop, create activity, send email, create quote, create product, web form submission, tag management, user/role management. These serve as regression tests.",T004,CRITICAL,3,,,Done
T006,0-Setup,Project Setup,Create docs directory structure,"Create docs/ folder with ARCHITECTURE.md, MOBILE_APP_PLAN.md, BROWSER_EXTENSION_PLAN.md, and any other planning docs. Keep all markdown documentation out of the repo root.",T001,LOW,0.25,,,Done
T007,1-WhiteLabel,White Label,Design white-label database schema,"Create migration for white_label_settings table: app_name, logo_url, logo_dark_url, favicon_url, primary_color, secondary_color, accent_color, email_sender_name, support_url, login_bg_image, custom_css. Seed with default values.",T003,HIGH,0.5,,,Done
T008,1-WhiteLabel,White Label,Build WhiteLabel Laravel package,"Create packages/Webkul/WhiteLabel/ following Krayin's package pattern (Provider, Config, Models, Repositories, Routes). Build admin settings page for uploading logo, favicon, and configuring colors/app name.",T007,HIGH,2,,,Done
T009,1-WhiteLabel,White Label,Implement CSS custom properties theming system,"Replace hardcoded brand colors throughout Krayin's Vue.js frontend with CSS custom properties (--primary-color, --secondary-color, etc.) driven by white_label_settings database values. Update login page, sidebar, header, buttons.",T008,HIGH,2,,,Done
T010,1-WhiteLabel,White Label,Make email templates brandable,"Update all email templates (workflow emails, notification emails) to use white-label settings: app name, logo, colors. Create a base email layout that reads from white_label_settings.",T008,MEDIUM,1,,,Done
T011,1-WhiteLabel,White Label,Write Playwright tests for white-label features,Test: change app name and verify it appears in header/title. Upload custom logo and verify it renders. Change primary color and verify CSS updates. Verify login page shows custom branding.,T009,HIGH,1,,,Done
T012,2-Foundation,Public REST API,Design and document public REST API,"Create OpenAPI/Swagger spec for all public API endpoints: auth, contacts, leads, deals, pipelines, activities, tags, users, emails, action-stream, notifications. Use Laravel Sanctum for token auth. Reference docs/ARCHITECTURE.md for endpoint design.",T003,CRITICAL,2,,GAP 20,Done
T013,2-Foundation,Public REST API,Build PublicApi Laravel package — authentication,"Create packages/Webkul/PublicApi/. Implement token-based auth with Laravel Sanctum: login, logout, token refresh, token scoping. Rate limiting middleware.",T012,CRITICAL,2,,GAP 20,Done
T014,2-Foundation,Public REST API,Build PublicApi — contacts endpoints,"CRUD endpoints for persons and organizations: list (paginated, filterable, searchable), get, create, update, delete. Include custom attributes, tags, and related entities.",T013,CRITICAL,2,,GAP 20,Done
T015,2-Foundation,Public REST API,Build PublicApi — leads/deals endpoints,"CRUD endpoints for leads: list (paginated, filterable), get, create, update, delete, stage transitions. Include pipeline association, products, quotes linkage.",T013,CRITICAL,1.5,,GAP 20,Done
T016,2-Foundation,Public REST API,Build PublicApi — activities endpoints,"CRUD endpoints for activities: list, get, create, update, delete. Filter by type (call, meeting, task, note). Include participants and file attachments.",T013,CRITICAL,1,,GAP 20,Done
T017,2-Foundation,Public REST API,Build PublicApi — pipelines and tags endpoints,Read endpoints for pipelines/stages and full CRUD for tags. Needed by mobile app and browser extension.,T013,HIGH,1,,GAP 20,Done
T018,2-Foundation,Public REST API,Build PublicApi — email endpoints,"Endpoints for email: list inbox/sent/drafts, get thread, send, reply, forward. Needed by mobile app.",T013,HIGH,1.5,,GAP 20,Done
T019,2-Foundation,Public REST API,Write Playwright API tests for all public endpoints,"Comprehensive API tests using Playwright's request context: test every endpoint for success, validation errors, auth failures, pagination, filtering. Test rate limiting.",T014;T015;T016;T017;T018,CRITICAL,3,,GAP 20,Done
T020,2-Foundation,Real-Time Infrastructure,Set up Laravel WebSockets / Soketi,Install and configure WebSocket server (Soketi or laravel-websockets). Add to Docker Compose. Configure Laravel broadcasting with Pusher driver pointing to local WebSocket server.,T002,HIGH,1.5,,,Done
T021,2-Foundation,Real-Time Infrastructure,Implement WebSocket channels and events,"Create broadcast events for: notification received, contact updated, lead stage changed, email received, action stream updated. Create private channels per user and presence channels per team.",T020,HIGH,1.5,,,Done
T022,2-Foundation,Real-Time Infrastructure,Add Vue.js WebSocket client,"Integrate Laravel Echo into the Vue.js frontend. Listen for real-time events and update UI reactively (notifications badge, action stream refresh, contact updates).",T021,HIGH,1,,,Done
T023,3-ActionStream,Action Stream,Design Next Action data model,"Create migration for next_actions table: id, actionable_type (person/lead), actionable_id, user_id, action_type (call/email/meeting/task/custom), description, due_date, due_time, priority (urgent/high/normal/low), status (pending/completed/snoozed), completed_at, snoozed_until. Add indexes for efficient querying.",T003,CRITICAL,0.5,AS-001;AS-002,GAP 1,Done
T024,3-ActionStream,Action Stream,Build ActionStream Laravel package — models and repositories,"Create packages/Webkul/ActionStream/ with NextAction model, repository, and service layer. Business logic: creating next actions, completing them (auto-suggest next), snoozing, priority sorting, overdue detection.",T023,CRITICAL,2,AS-001;AS-002,GAP 1,Done
T025,3-ActionStream,Action Stream,Build Action Stream API endpoints,"Add action-stream endpoints to PublicApi: GET /action-stream (prioritized list), POST /action-stream (create), PUT /action-stream/{id} (update/complete/snooze), DELETE /action-stream/{id}. Include filtering by user, date range, priority.",T024;T013,CRITICAL,1.5,AS-001;AS-002,GAP 1,Done
T026,3-ActionStream,Action Stream,Build Action Stream Vue.js UI — main view,"Create the Action Stream page as a new top-level navigation item. Show prioritized list of next actions with: contact name, action type icon, description, due date, priority color coding. Sortable by due date, priority. Filterable by type, assignee.",T024,CRITICAL,3,AS-001;AS-002;AS-003,GAP 1,Done
T027,3-ActionStream,Action Stream,Implement color-coded priority system,"Visual urgency indicators: red (overdue), orange (due today), yellow (due this week), green (upcoming), gray (no due date). Apply to Action Stream items, contact views, and deal views.",T026,HIGH,1,AS-003,GAP 1,Done
T028,3-ActionStream,Action Stream,Add Next Action widget to contact detail view,"On the person/lead detail page, show the current Next Action prominently at top. Allow completing it and immediately setting a new one. Show action history timeline.",T024;T026,CRITICAL,1.5,AS-002,GAP 1,Done
T029,3-ActionStream,Action Stream,Build Team Stream view,"New page showing all team members' actions in a unified feed. Filter by user, action type, date. Show who completed what and when. Real-time updates via WebSocket.",T026;T021,MEDIUM,2,AS-004;TC-007,GAP 12,Done
T030,3-ActionStream,Action Stream,Auto-prompt for next action on lead stage change,"When a lead moves to a new pipeline stage, prompt the user to set the next action. When a next action is completed, prompt for the follow-up action. Make the CRM action-first.",T024;T026,HIGH,1,AS-001;AS-002,GAP 1,Done
T031,3-ActionStream,Action Stream,Write Playwright tests for Action Stream,"Test: create next action from contact page, verify it appears in Action Stream. Complete an action and verify prompt for next. Test priority color coding. Test Team Stream. Test snooze. Test overdue detection. Test filtering and sorting.",T026;T027;T028;T029,CRITICAL,2,AS-001;AS-002;AS-003;AS-004,GAP 1,Done
T032,4-Notifications,Notifications,Design notification and comments schema,"Create migrations: notifications table (id, user_id, type, title, body, data JSON, read_at, created_at) and comments table (id, commentable_type, commentable_id, user_id, body, mentioned_user_ids JSON, created_at).",T003,HIGH,0.5,TC-002;TC-003,GAP 9,Done
T033,4-Notifications,Notifications,Build Notification Laravel package,"Create packages/Webkul/Notification/ with models, repositories, notification service. Support creating notifications from: comments, @mentions, lead stage changes, deal assignments, action stream reminders, email receipts.",T032;T021,HIGH,2,TC-003,GAP 9,Done
T034,4-Notifications,Notifications,Build notification UI — bell icon and dropdown,Add notification bell to the top nav bar with unread count badge. Dropdown shows recent notifications. Click to navigate to relevant record. Mark as read on click or bulk mark all read. Real-time updates via WebSocket.,T033;T022,HIGH,1.5,TC-003,GAP 9,Done
T035,4-Notifications,Notifications,Build comments and @mentions system,"Add comment section to contact, lead, and deal detail pages. Support @mentioning users with autocomplete. Creating a comment with @mention triggers a notification to the mentioned user.",T032;T033,HIGH,2,TC-002,GAP 9,Done
T036,4-Notifications,Notifications,Add notification API endpoints,"GET /notifications (paginated), PUT /notifications/{id}/read, PUT /notifications/read-all, GET /notifications/unread-count. Needed by mobile app.",T033;T013,HIGH,1,TC-003,GAP 9,Done
T037,4-Notifications,Notifications,Write Playwright tests for notifications and comments,Test: @mention a user in a comment and verify notification appears. Test bell icon count. Test mark as read. Test notification navigation. Test comment CRUD on contacts and leads.,T034;T035,HIGH,1.5,TC-002;TC-003,GAP 9,Done
T038,5-ContactUX,Contact Management,Implement soft delete with 30-day restore,"Add SoftDeletes trait to Person, Organization, and Lead models. Create a 'Trash' view in admin showing soft-deleted records. Add restore button. Schedule artisan command to permanently delete records older than 30 days.",T003,LOW,1.5,CM-009;SD-006,GAP 24,Done
T039,5-ContactUX,Contact Management,Add required custom fields admin toggle,"In the custom attributes admin page, add a 'Required' toggle per attribute. Enforce required validation on entity creation/update forms when the attribute is marked required.",T003,LOW,1,CM-010,,Done
T040,5-ContactUX,Contact Management,Build split view (list + detail panel),Add a split-view mode to contacts and leads list pages. Left panel shows the filterable list; right panel shows the selected record's detail view. Toggle between full-page and split-view modes.,T003,MEDIUM,2,CM-011,GAP 13,Done
T041,5-ContactUX,Contact Management,Write Playwright tests for contact UX improvements,Test: delete contact and verify it appears in trash. Restore from trash. Verify auto-purge after 30 days (mock time). Test required custom field enforcement. Test split view toggle and navigation.,T038;T039;T040,MEDIUM,1,CM-009;CM-010;CM-011,,Done
T042,6-Email,Email Sync,Design email account and tracking schema,"Create migrations: email_accounts (id, user_id, email_address, imap_host, imap_port, imap_encryption, smtp_host, smtp_port, smtp_encryption, username, password_encrypted, last_sync_at, status), email_tracking_events (id, email_id, event_type [open/click], ip_address, user_agent, url_clicked, created_at), scheduled_emails (id, email_id, scheduled_at, sent_at, status).",T003,HIGH,0.5,EM-001;EM-006;EM-007,GAP 4;GAP 8,Done
T043,6-Email,Email Sync,Build two-way IMAP/SMTP email sync service,Create EmailSync package. Implement IMAP connection manager that polls for new emails. Match incoming emails to CRM contacts by email address. Sync sent emails. Store synced emails in existing Krayin email tables. Run sync as a scheduled Laravel job (every 2-5 minutes).,T042,CRITICAL,4,EM-001,GAP 4,Done
T044,6-Email,Email Sync,Build email account configuration UI,"Admin page where users can add their email accounts (Gmail IMAP/SMTP, Outlook IMAP/SMTP, custom). OAuth2 flow for Gmail and Outlook. Test connection button. Sync status indicator.",T043,CRITICAL,2,EM-001,GAP 4,Done
T045,6-Email,Email Sync,Implement smart email filtering,"When syncing emails via IMAP, only import emails where the sender/recipient matches a CRM contact's email address. Filter out newsletters, automated emails, and non-contact correspondence. Allow user to configure filter rules.",T043,MEDIUM,1.5,EM-002,GAP 15,Done
T046,6-Email,Email Sync,Build shared team inbox,Create a shared inbox view that aggregates emails across team members' connected accounts. Show which team member owns each email thread. Allow reassignment. Filter by assigned user.,T043,MEDIUM,2,EM-003,,Done
T047,6-Email,Bulk Email,Build bulk email sending,"Allow selecting multiple contacts from a list view and sending a personalized email using a template. Support merge fields (contact name, company, etc.). Rate limit sends (configurable, default 450/day). Queue via Laravel jobs. Show send progress.",T003,HIGH,2.5,EM-005,GAP 7,Done
T048,6-Email,Email Scheduling,Build email scheduling,"When composing an email, allow the user to choose 'Send Later' with a date/time picker. Store in scheduled_emails table. Laravel scheduler sends at the specified time. Show scheduled emails in a 'Scheduled' folder.",T042,MEDIUM,1.5,EM-006,GAP 14,Done
T049,6-Email,Email Tracking,Build email open and click tracking,"When sending emails, inject a 1x1 tracking pixel and wrap links. Track open events (pixel loaded) and click events (link clicked). Show tracking data on the email detail view: opened at, opened count, links clicked. Real-time notification when an email is opened.",T042;T033,HIGH,2.5,EM-007,GAP 8,Done
T050,6-Email,Email History,Build email history fetching,"For newly connected email accounts, allow importing historical emails (last 30/60/90 days configurable). Background job fetches and processes historical IMAP emails, matching to CRM contacts.",T043,MEDIUM,1.5,EM-008,,Done
T051,6-Email,Email Sequences,Build email sequence / drip campaign engine,"Create a sequence builder: define a series of emails with delays between them (e.g., Day 1: intro, Day 3: follow-up, Day 7: check-in). Enroll contacts in sequences. Auto-stop if contact replies. Track sequence performance.",T047;T049,MEDIUM,4,EM-009,,Done
T052,6-Email,Email,Write Playwright tests for email features,Test: connect IMAP account (use Mailpit in Docker for testing). Verify email sync pulls emails. Send email and verify it appears in sent. Test smart filtering. Test bulk email with template. Test email scheduling. Test open tracking pixel. Test email sequence enrollment.,T043;T044;T045;T047;T048;T049,HIGH,3,EM-001 through EM-009,GAP 4;GAP 7;GAP 8,Done
T053,7-Pipeline,Pipeline,Build delivery pipeline type,"Add a pipeline_type column to pipelines table (sales/delivery). When a lead is marked 'Won', offer to move it to a delivery pipeline. Delivery pipelines have their own stages (e.g., Onboarding, In Progress, Completed). Show delivery pipelines in a separate tab.",T003,MEDIUM,2,DM-004,GAP 16,Done
T054,7-Pipeline,Pipeline,Build deal velocity analytics,"Track timestamps when leads enter and exit each pipeline stage. Calculate average time per stage. Show velocity metrics on pipeline view: avg days per stage, bottleneck identification, comparison over time periods.",T003,MEDIUM,2,DM-008,GAP 17,Done
T055,7-Pipeline,Pipeline,Build revenue forecasting,"Calculate expected revenue per pipeline: sum of (deal value * stage probability) for all active deals. Show forecast on dashboard and pipeline view. Break down by time period (this month, quarter, year). Compare forecast vs actual (won deals).",T003,HIGH,2,DM-006;DM-007;RP-006,GAP 5,Done
T056,7-Pipeline,Pipeline,Write Playwright tests for pipeline features,"Test: create delivery pipeline, move won deal to it, verify stages work. Test deal velocity calculations. Test revenue forecast accuracy against known deal data.",T053;T054;T055,MEDIUM,1.5,DM-004;DM-006;DM-008,,Done
T057,8-Reporting,Reporting,Build custom report builder — backend,"Create ReportBuilder package. Data model: report_definitions (name, entity_type, columns, filters, grouping, sorting, chart_type). Support entity types: leads, contacts, activities, emails, deals. Generate SQL queries dynamically from report definitions.",T003,HIGH,3,RP-003,GAP 6,Done
T058,8-Reporting,Reporting,Build custom report builder — frontend UI,"Vue.js report builder interface: select entity type, choose columns, add filters (date range, user, status, tags), choose grouping, select chart type (bar, line, pie, table). Preview report. Save report with a name.",T057,HIGH,2.5,RP-003,GAP 6,Done
T059,8-Reporting,Reporting,Build report save and schedule system,"Save report definitions to database. Schedule reports to run and email results (daily, weekly, monthly). Choose recipients and format (PDF, CSV, XLS). Laravel scheduler triggers report generation and email delivery.",T057;T058,HIGH,2,RP-004;RP-005,GAP 6,Done
T060,8-Reporting,Reporting,Add dashboard segmentation by user/team,"Enhance existing dashboard to add user/team filter dropdown. When a user or team is selected, all dashboard charts filter to show only that user's/team's data. Add date range selector.",T003,MEDIUM,1.5,RP-002,,Done
T061,8-Reporting,Reporting,Build activity reports,"Dedicated activity reporting: calls made, meetings held, emails sent, tasks completed per user per time period. Comparison charts between team members. Leaderboard view.",T057,MEDIUM,1.5,RP-007,,Done
T062,8-Reporting,Reporting,Write Playwright tests for reporting,"Test: create custom report, verify data accuracy. Save report, reload and verify it persists. Schedule report, verify email delivery (via Mailpit). Test dashboard filters. Test activity report data.",T058;T059;T060;T061,HIGH,2,RP-001 through RP-007,GAP 6,Done
T063,9-Automation,Automation,Build pre-saved action sequences (playbooks),"Create a 'Playbooks' feature in the automation module. A playbook is a reusable sequence of actions (e.g., create activity, send email, update field, wait X days) that can be triggered on any contact or lead. Playbook builder UI with drag-and-drop steps.",T003,MEDIUM,3,AW-002,,Done
T064,9-Automation,Automation,Build contact enrichment service,"Integrate with a data enrichment API (Clearbit, Hunter.io, or similar — make it configurable). One-click enrichment button on contact detail page. Auto-fill company info, social profiles, job title from email address. Also available as a workflow action.",T003,MEDIUM,2.5,AW-005,GAP 18,Done
T065,9-Automation,Automation,Write Playwright tests for automation enhancements,"Test: create a playbook with multiple steps, trigger it on a contact, verify each step executes. Test contact enrichment (mock external API). Test playbook editing and deletion.",T063;T064,MEDIUM,1.5,AW-002;AW-005,,Done
T066,10-Integrations,Integrations,Build Zapier integration app,"Use Zapier CLI to create a Zapier app. Triggers: new contact, new lead, lead stage changed, deal won, deal lost, new activity, email received. Actions: create contact, create lead, update lead stage, create activity, send email. Authentication via API tokens.",T013;T019,CRITICAL,4,,GAP 3,Done
T067,10-Integrations,Integrations,Build Make.com integration module,Create HTTP module definitions for Make.com. Support same triggers and actions as Zapier. Webhook-based triggers using Krayin's existing webhook system.,T013;T019,HIGH,2,,GAP 3,Done
T068,10-Integrations,Integrations,Build Google Calendar sync,"OAuth2 flow for Google Calendar. Two-way sync: CRM activities (meetings, calls) sync to Google Calendar and vice versa. Show Google Calendar events in CRM activity timeline. Handle conflict resolution.",T003,HIGH,3,CA-005,GAP 10,Done
T069,10-Integrations,Integrations,Build Outlook Calendar sync,OAuth2 flow for Microsoft Graph API. Two-way sync of CRM activities with Outlook Calendar. Same feature set as Google Calendar sync.,T003,HIGH,2.5,CA-005,GAP 10,Done
T070,10-Integrations,Integrations,Build QuickBooks integration,OAuth2 connection to QuickBooks Online. Create invoices from CRM quotes/deals. View QuickBooks invoice status in CRM. Sync customer data between CRM contacts and QuickBooks customers.,T013,MEDIUM,3,,GAP 19,Done
T071,10-Integrations,Integrations,Build Xero integration,OAuth2 connection to Xero. Create invoices from CRM quotes/deals. View Xero invoice status in CRM. Sync contacts between CRM and Xero.,T013,MEDIUM,3,,GAP 19,Done
T072,10-Integrations,Integrations,Build Mailchimp integration,"Connect to Mailchimp API. Sync CRM contacts to Mailchimp audiences. Segment by tags. View Mailchimp campaign stats (opens, clicks) on CRM contact records. Subscribe/unsubscribe from CRM.",T013,MEDIUM,2,,,Done
T073,10-Integrations,Integrations,Write Playwright tests for integrations,Test Zapier webhook triggers fire correctly. Test calendar sync creates events (mock Google/Outlook APIs). Test QuickBooks invoice creation (mock). Test Mailchimp contact sync (mock).,T066;T067;T068;T069;T070;T072,HIGH,3,,,Done
T074,11-Telephony,Calls & Meetings,Build Click-to-Call with VoIP integration,Integrate with Twilio or similar VoIP provider (make it configurable). Click-to-call button on contact records. Auto-log call as activity. Call recording storage (optional). Show call duration.,T003,MEDIUM,3,CA-003,,Done
T075,11-Telephony,Calls & Meetings,Build speed dial feature,Quick-dial sidebar or widget showing recently contacted or favorited contacts with one-click call buttons. Uses the Click-to-Call VoIP integration.,T074,LOW,1,CA-002,,Done
T076,11-Telephony,Calls & Meetings,Write Playwright tests for telephony,Test: click-to-call button triggers call (mock VoIP). Verify activity is auto-logged. Test speed dial panel. Test call recording playback.,T074;T075,MEDIUM,1,CA-002;CA-003,,Done
T077,12-Security,Security & Compliance,Build GDPR compliance tools,Add consent tracking fields to contacts. Data export button (download all data for a contact as JSON/CSV). Right to deletion workflow (anonymize/delete all contact data and related records). Cookie consent banner for web forms. Data processing agreement template.,T003,MEDIUM,2,SD-004,GAP 25,Done
T078,12-Security,Security & Compliance,Build automated backup system,Create artisan command for full database backup (mysqldump). Configure in Laravel scheduler (daily). Store backups locally and optionally to S3. Retention policy (keep last 30 days). Admin page showing backup history with download/restore buttons.,T003,LOW,1.5,SD-002,,Done
T079,12-Security,Security & Compliance,Write Playwright tests for security features,Test: GDPR data export generates correct file. Test data deletion removes all related records. Test backup creation and listing.,T077;T078,MEDIUM,1,SD-002;SD-004,,Done
T080,13-Mobile,Mobile App,Initialize React Native (Expo) project,"Create mobile/ directory with Expo project. Set up navigation (React Navigation), state management (Zustand), API client (Axios with Sanctum token auth), and base UI components matching CRM branding. Reference docs/MOBILE_APP_PLAN.md.",T013;T019,CRITICAL,2,,GAP 2,Done
T081,13-Mobile,Mobile App,Build mobile authentication screens,Login screen with email/password. Biometric unlock (Face ID / fingerprint). Token storage in secure storage. Auto-refresh token. Logout. Server URL configuration (for self-hosted instances).,T080,CRITICAL,2,MB-001;MB-002,GAP 2,Done
T082,13-Mobile,Mobile App,Build mobile contacts screen,"Contacts list with search, pull-to-refresh, infinite scroll. Contact detail view showing all info, activities, deals, next action. Create/edit contact form. Tap to call/email.",T081,CRITICAL,2,MB-004,GAP 2,Not Started
T083,13-Mobile,Mobile App,Build mobile deals/pipeline screen,"Pipeline selector, horizontal-scrolling Kanban board with drag-and-drop. Deal detail view. Create/edit deal. Stage transitions via drag or button.",T081,CRITICAL,2,MB-005,GAP 2,Not Started
T084,13-Mobile,Mobile App,Build mobile Action Stream screen,Prioritized list of next actions with color coding. Swipe right to complete (prompts for next action). Swipe left to snooze. Pull-to-refresh. Filter by type.,T081;T025,CRITICAL,2,MB-003,GAP 2,Not Started
T085,13-Mobile,Mobile App,Build mobile activity logging,"Create activity screen: select type (call, meeting, note, task), link to contact/deal, add description, set date/time. Activity timeline on contact/deal detail. Quick-log call after phone call.",T082,HIGH,1.5,MB-006,GAP 2,Not Started
T086,13-Mobile,Mobile App,Build mobile email screen,Inbox view showing synced emails. Compose new email. Reply/forward. Email templates. Basic email tracking status display.,T081;T043,HIGH,2,,GAP 2,Not Started
T087,13-Mobile,Mobile App,Build mobile notifications,Push notification setup via Expo Push Notifications (FCM/APNs). Notification center screen showing all notifications. Tap to navigate. Badge count on app icon.,T081;T036,HIGH,1.5,,GAP 2,Not Started
T088,13-Mobile,Mobile App,Implement offline mode and real-time sync,"Cache contacts, deals, and action stream in local storage for offline viewing. Queue create/update operations when offline. Sync when connection resumes. Real-time updates via WebSocket when online.",T082;T083;T084;T021,HIGH,3,MB-007,GAP 2,Not Started
T089,13-Mobile,Mobile App,Build AI Route Planner,Map view showing contact locations (geocoded addresses). Route optimization between selected contacts using Google Maps Directions API. Turn-by-turn navigation via deep link to Google Maps/Apple Maps. Save planned routes.,T082,MEDIUM,3,MB-008,GAP 21,Not Started
T090,13-Mobile,Mobile App,Build AI Business Card Scanner,"Camera screen for capturing business cards. OCR processing (Google Cloud Vision or Tesseract). Parse extracted text into contact fields (name, company, email, phone, address). Pre-filled contact creation form. Save scanned card image as attachment.",T082,MEDIUM,3,MB-009;LG-005,GAP 22,Not Started
T091,13-Mobile,Mobile App,Write mobile E2E tests (Detox or Maestro),"E2E tests for critical mobile flows: login, view contacts, create contact, view action stream, complete action, view pipeline, create deal, send email, receive notification. Run against a test API server.",T081;T082;T083;T084;T085;T086;T087,CRITICAL,3,,GAP 2,Not Started
T092,14-Extension,Browser Extension,Initialize Chrome extension project (Manifest V3),"Create extension/ directory with Manifest V3 structure. Set up popup (Vue.js mini-app), content scripts, service worker. Build system with Vite. Reference docs/BROWSER_EXTENSION_PLAN.md.",T013,HIGH,1.5,LG-001,GAP 11,Done
T093,14-Extension,Browser Extension,Build extension authentication,Login popup where user enters CRM instance URL and credentials. Store API token in Chrome storage. Auto-reconnect on extension open. Logout functionality.,T092,HIGH,1,LG-001,GAP 11,Done
T094,14-Extension,Browser Extension,Build generic web page contact scraper,"Content script that scans the current page for: email addresses (mailto: and text patterns), phone numbers, names (from page title, headings), social links, addresses. Return structured data to popup.",T092,HIGH,2,LG-001,GAP 11,Done
T095,14-Extension,Browser Extension,Build LinkedIn profile parser,"Dedicated content script for LinkedIn profile pages. Extract: name, headline/title, company, location, profile URL, profile photo URL. Handle LinkedIn's dynamic rendering.",T094,MEDIUM,1.5,LG-001;LG-003,GAP 11,Done
T096,14-Extension,Browser Extension,Build capture popup UI,"Extension popup showing pre-filled contact form from scraped data. Edit fields before saving. Add tags, assign to pipeline, set Next Action. Save button creates contact via Public API.",T093;T094,HIGH,2,LG-001,GAP 11,Done
T097,14-Extension,Browser Extension,Write tests for browser extension,"Jest unit tests for parsers (LinkedIn, generic scraper). Integration tests with mock Chrome APIs. Manual testing guide for loading unpacked extension.",T094;T095;T096,HIGH,1.5,LG-001,GAP 11,Done
T098,15-UXPolish,UX Polish,Redesign navigation for action-first workflow,Restructure the main navigation to put Action Stream as the default landing page (not dashboard). Reorder sidebar: Action Stream > Contacts > Deals > Activities > Email > Reports > Settings. Simplify UI by removing visual clutter.,T026,MEDIUM,2,AS-005,,Done
T099,15-UXPolish,UX Polish,Add focused user role,"Create a 'Focused User' role template in the roles system. Focused users can only see their own contacts, deals, activities, and action stream. They cannot access team stream, reports, or admin settings.",T003,LOW,1,TC-006,,Done
T100,15-UXPolish,UX Polish,Write Playwright tests for UX polish,Test: verify Action Stream is default landing page. Test focused user role restrictions (cannot see other users' data). Test simplified navigation.,T098;T099,MEDIUM,1,AS-005;TC-006,,Done
T101,16-FinalQA,Final QA,Full regression E2E test suite run,Run all Playwright tests end-to-end against a clean Docker environment. Fix any failures. Verify all features work together: Action Stream + Notifications + Email + Pipeline + Reporting.,T031;T037;T041;T052;T056;T062;T065;T073;T076;T079;T097;T100,CRITICAL,3,,,Not Started
T102,16-FinalQA,Final QA,Performance testing and optimization,"Load test the CRM with 10k+ contacts, 5k+ leads, 50k+ emails. Identify and fix N+1 queries, slow pages, memory leaks. Optimize database indexes. Test WebSocket under concurrent connections.",T101,HIGH,2,,,Not Started
T103,16-FinalQA,Final QA,Security audit,"Review all new code for OWASP Top 10 vulnerabilities. Check SQL injection, XSS, CSRF, authentication bypass. Audit API token handling. Review email credential encryption. Verify RBAC enforcement on all new endpoints.",T101,HIGH,2,,,Not Started
T104,16-FinalQA,Final QA,Documentation and deployment guide,"Write deployment guide: Docker production setup, environment variables, email account configuration, Zapier setup, mobile app build/deploy, Chrome extension publish. Update README with feature list and screenshots.",T101,MEDIUM,2,,,Done
